title,id,viewcount,likecount,dislikecount,commentcount,favoritecount
MEAT EATING HYPOCRITES AT YULIN PROTEST? PART 2!,EV8DnJbtj5s,30204,1438,25,370,0
MEAT EATING HYPOCRITES AT YULIN PROTEST? PART 1!,GxZMeTYGMzc,86898,3457,98,1263,0
"STREET INTERVIEWS - ""I'M A SPECIESIST""",idLuM29nvKg,27104,1647,26,298,0
SLAVERY - WOULD YOU BE AN ABOLITIONIST? STREET INTERVIEWS,rDDsE75nbiM,15174,1057,12,209,0
EARTHLINGS EXPERIENCE - SHOULD CHILDREN SEE THIS?,bnyiD36uzlI,47000,2671,26,486,0
EARTHLINGS EXPERIENCE - ARE WE ALL ZOMBIES?,JcNekyBXb6w,39492,1928,24,356,0
DON'T GO ON THE NEW YORK HORSE CARRIAGES!,HXZFoixRfCs,32602,1835,92,669,0
BATMAN AND THE JOKER WATCH EARTHLINGS - REACTIONS,_2TnHzMOaBU,30667,2047,17,559,0
EARTHLINGS EXPERIENCE - WHAT DOES A HUNTER THINK?,gHq58ygzWk4,38625,1866,32,352,0
PLANTS HAVE FEELINGS - VEGAN STREET ACTIVISM,CPv2ZIcwmLs,14181,729,21,196,0
MCDONALDS SERVE DOG BURGERS? VEGAN STREET ACTIVISM,Ee94iPXQNbc,38812,1586,23,262,0
THE CRUELTY BEHIND OUR CLOTHING - LEATHER,a0MdMWb6Bgs,39662,1159,60,225,0
THE CRUELTY BEHIND OUR CLOTHING - FUR,TeIOEdvtuHA,28154,815,59,213,0
VEGANS ARE UNETHICAL? VEGANS CONFRONT MEAT EATERS IN THE STREET,xelkCwvX1Ys,153485,6734,384,2748,0
